2018-06-27 10:08:46,640 INFO [WriteToFile.java : 55] Getting ApiKey from apikey.text
2018-06-27 10:08:46,747 INFO [WriteToFile.java : 57] Get ApiKey from apikey.text sucessfully!
2018-06-27 10:08:46,750 INFO [WriteToFile.java : 65] Start to update location ...
2018-06-27 10:08:52,049 ERROR [WriteToFile.java : 78] Line 0, Error: 0
2018-06-27 10:08:55,644 ERROR [WriteToFile.java : 78] Line 4, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:08:59,175 ERROR [WriteToFile.java : 78] Line 8, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:03,649 ERROR [WriteToFile.java : 78] Line 13, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:04,141 ERROR [WriteToFile.java : 78] Line 14, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:04,623 ERROR [WriteToFile.java : 78] Line 15, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:05,120 ERROR [WriteToFile.java : 78] Line 16, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:05,659 ERROR [WriteToFile.java : 78] Line 17, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:06,221 ERROR [WriteToFile.java : 78] Line 18, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:06,740 ERROR [WriteToFile.java : 78] Line 19, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:07,231 ERROR [WriteToFile.java : 78] Line 20, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:07,731 ERROR [WriteToFile.java : 78] Line 21, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:08,226 ERROR [WriteToFile.java : 78] Line 22, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:08,716 ERROR [WriteToFile.java : 78] Line 23, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:09,200 ERROR [WriteToFile.java : 78] Line 24, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:09,703 ERROR [WriteToFile.java : 78] Line 25, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:10,174 ERROR [WriteToFile.java : 78] Line 26, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:10,653 ERROR [WriteToFile.java : 78] Line 27, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:11,123 ERROR [WriteToFile.java : 78] Line 28, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:11,594 ERROR [WriteToFile.java : 78] Line 29, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:12,121 ERROR [WriteToFile.java : 78] Line 30, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:12,631 ERROR [WriteToFile.java : 78] Line 31, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:13,227 ERROR [WriteToFile.java : 78] Line 32, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:13,725 ERROR [WriteToFile.java : 78] Line 33, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:14,207 ERROR [WriteToFile.java : 78] Line 34, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:14,677 ERROR [WriteToFile.java : 78] Line 35, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:15,152 ERROR [WriteToFile.java : 78] Line 36, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:15,642 ERROR [WriteToFile.java : 78] Line 37, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:16,135 ERROR [WriteToFile.java : 78] Line 38, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:16,631 ERROR [WriteToFile.java : 78] Line 39, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:17,126 ERROR [WriteToFile.java : 78] Line 40, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:17,606 ERROR [WriteToFile.java : 78] Line 41, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:18,213 ERROR [WriteToFile.java : 78] Line 42, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:18,707 ERROR [WriteToFile.java : 78] Line 43, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:19,254 ERROR [WriteToFile.java : 78] Line 44, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:19,777 ERROR [WriteToFile.java : 78] Line 45, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:20,416 ERROR [WriteToFile.java : 78] Line 46, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:21,029 ERROR [WriteToFile.java : 78] Line 47, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:21,515 ERROR [WriteToFile.java : 78] Line 48, Error: You have exceeded your daily request quota for this API.
2018-06-27 10:09:22,004 ERROR [WriteToFile.java : 78] Line 49, Error: You have exceeded your daily request quota for this API.
